[2018-08-10 05:54:12] | GigEVisionManager.cpp-L4506: throw frame from list[131], CurFrameNum[15823], LastFrame[15821]
[2018-08-10 05:54:12] | GigEVisionManager.cpp-L4506: throw frame from list[132], CurFrameNum[15827], LastFrame[15825]
[2018-08-10 05:54:13] | GigEVisionManager.cpp-L4506: throw frame from list[133], CurFrameNum[15832], LastFrame[15830]
[2018-08-10 05:54:13] | GigEVisionManager.cpp-L4506: throw frame from list[134], CurFrameNum[15836], LastFrame[15834]
[2018-08-10 05:54:13] | GigEVisionManager.cpp-L4506: throw frame from list[135], CurFrameNum[15839], LastFrame[15837]
[2018-08-10 05:54:13] | GigEVisionManager.cpp-L4506: throw frame from list[136], CurFrameNum[15845], LastFrame[15843]
[2018-08-10 05:54:13] | GigEVisionManager.cpp-L4506: throw frame from list[137], CurFrameNum[15847], LastFrame[15845]
[2018-08-10 05:54:14] | GigEVisionManager.cpp-L4506: throw frame from list[138], CurFrameNum[15852], LastFrame[15850]
[2018-08-10 05:54:14] | GigEVisionManager.cpp-L4506: throw frame from list[139], CurFrameNum[15857], LastFrame[15855]
[2018-08-10 05:54:14] | GigEVisionManager.cpp-L4506: throw frame from list[140], CurFrameNum[15860], LastFrame[15858]
[2018-08-10 05:54:14] | GigEVisionManager.cpp-L4506: throw frame from list[141], CurFrameNum[15867], LastFrame[15865]
[2018-08-10 05:54:14] | GigEVisionManager.cpp-L4506: throw frame from list[142], CurFrameNum[15871], LastFrame[15869]
[2018-08-10 05:54:15] | GigEVisionManager.cpp-L4506: throw frame from list[143], CurFrameNum[15875], LastFrame[15873]
[2018-08-10 05:54:15] | GigEVisionManager.cpp-L4506: throw frame from list[144], CurFrameNum[15879], LastFrame[15877]
[2018-08-10 05:54:15] | GigEVisionManager.cpp-L4506: throw frame from list[145], CurFrameNum[15885], LastFrame[15883]
[2018-08-10 05:54:15] | GigEVisionManager.cpp-L4506: throw frame from list[146], CurFrameNum[15887], LastFrame[15885]
[2018-08-10 05:54:15] | GigEVisionManager.cpp-L4506: throw frame from list[147], CurFrameNum[15889], LastFrame[15887]
[2018-08-10 05:54:16] | GigEVisionManager.cpp-L4506: throw frame from list[148], CurFrameNum[15893], LastFrame[15891]
[2018-08-10 05:54:16] | GigEVisionManager.cpp-L4506: throw frame from list[149], CurFrameNum[15899], LastFrame[15897]
[2018-08-10 05:54:16] | GigEVisionManager.cpp-L4506: throw frame from list[150], CurFrameNum[15904], LastFrame[15902]
[2018-08-10 05:54:16] | GigEVisionManager.cpp-L4506: throw frame from list[151], CurFrameNum[15909], LastFrame[15907]
[2018-08-10 05:54:17] | GigEVisionManager.cpp-L4506: throw frame from list[152], CurFrameNum[15912], LastFrame[15910]
[2018-08-10 05:54:17] | GigEVisionManager.cpp-L4506: throw frame from list[153], CurFrameNum[15918], LastFrame[15916]
[2018-08-10 05:54:17] | GigEVisionManager.cpp-L4506: throw frame from list[154], CurFrameNum[15923], LastFrame[15921]
[2018-08-10 05:54:17] | GigEVisionManager.cpp-L4506: throw frame from list[155], CurFrameNum[15926], LastFrame[15924]
[2018-08-10 05:54:18] | GigEVisionManager.cpp-L4506: throw frame from list[156], CurFrameNum[15933], LastFrame[15931]
[2018-08-10 05:54:18] | GigEVisionManager.cpp-L4506: throw frame from list[157], CurFrameNum[15938], LastFrame[15936]
[2018-08-10 05:54:18] | GigEVisionManager.cpp-L4506: throw frame from list[158], CurFrameNum[15941], LastFrame[15939]
[2018-08-10 05:54:18] | GigEVisionManager.cpp-L4506: throw frame from list[159], CurFrameNum[15945], LastFrame[15943]
[2018-08-10 05:54:18] | GigEVisionManager.cpp-L4506: throw frame from list[160], CurFrameNum[15947], LastFrame[15945]
[2018-08-10 05:54:19] | GigEVisionManager.cpp-L4506: throw frame from list[161], CurFrameNum[15952], LastFrame[15950]
[2018-08-10 05:54:19] | GigEVisionManager.cpp-L4506: throw frame from list[162], CurFrameNum[15957], LastFrame[15955]
[2018-08-10 05:54:19] | GigEVisionManager.cpp-L4506: throw frame from list[163], CurFrameNum[15960], LastFrame[15958]
[2018-08-10 05:54:19] | GigEVisionManager.cpp-L4506: throw frame from list[164], CurFrameNum[15966], LastFrame[15964]
[2018-08-10 05:54:20] | GigEVisionManager.cpp-L4506: throw frame from list[165], CurFrameNum[15972], LastFrame[15970]
[2018-08-10 05:54:20] | GigEVisionManager.cpp-L4506: throw frame from list[166], CurFrameNum[15975], LastFrame[15973]
[2018-08-10 05:54:20] | GigEVisionManager.cpp-L4506: throw frame from list[167], CurFrameNum[15979], LastFrame[15977]
[2018-08-10 05:54:20] | GigEVisionManager.cpp-L4506: throw frame from list[168], CurFrameNum[15985], LastFrame[15983]
[2018-08-10 05:54:20] | GigEVisionManager.cpp-L4506: throw frame from list[169], CurFrameNum[15988], LastFrame[15986]
[2018-08-10 05:54:21] | GigEVisionManager.cpp-L4506: throw frame from list[170], CurFrameNum[15992], LastFrame[15990]
[2018-08-10 05:54:21] | GigEVisionManager.cpp-L4506: throw frame from list[171], CurFrameNum[15998], LastFrame[15996]
[2018-08-10 05:54:21] | GigEVisionManager.cpp-L4506: throw frame from list[172], CurFrameNum[16004], LastFrame[16002]
[2018-08-10 05:54:21] | GigEVisionManager.cpp-L4506: throw frame from list[173], CurFrameNum[16008], LastFrame[16006]
[2018-08-10 05:54:22] | GigEVisionManager.cpp-L4506: throw frame from list[174], CurFrameNum[16012], LastFrame[16010]
[2018-08-10 05:54:22] | GigEVisionManager.cpp-L4506: throw frame from list[175], CurFrameNum[16018], LastFrame[16016]
[2018-08-10 05:54:22] | GigEVisionManager.cpp-L4506: throw frame from list[176], CurFrameNum[16021], LastFrame[16019]
[2018-08-10 05:54:22] | GigEVisionManager.cpp-L4506: throw frame from list[177], CurFrameNum[16027], LastFrame[16025]
[2018-08-10 05:54:23] | GigEVisionManager.cpp-L4506: throw frame from list[178], CurFrameNum[16031], LastFrame[16029]
[2018-08-10 05:54:23] | GigEVisionManager.cpp-L4506: throw frame from list[179], CurFrameNum[16036], LastFrame[16034]
[2018-08-10 05:54:23] | GigEVisionManager.cpp-L4506: throw frame from list[180], CurFrameNum[16040], LastFrame[16038]
[2018-08-10 05:54:23] | GigEVisionManager.cpp-L4506: throw frame from list[181], CurFrameNum[16044], LastFrame[16042]
[2018-08-10 05:54:23] | GigEVisionManager.cpp-L4506: throw frame from list[182], CurFrameNum[16047], LastFrame[16045]
[2018-08-10 05:54:23] | GigEVisionManager.cpp-L4506: throw frame from list[183], CurFrameNum[16050], LastFrame[16048]
[2018-08-10 05:54:24] | GigEVisionManager.cpp-L4506: throw frame from list[184], CurFrameNum[16055], LastFrame[16053]
[2018-08-10 05:54:24] | GigEVisionManager.cpp-L4506: throw frame from list[185], CurFrameNum[16058], LastFrame[16056]
[2018-08-10 05:54:24] | GigEVisionManager.cpp-L4506: throw frame from list[186], CurFrameNum[16061], LastFrame[16059]
[2018-08-10 05:54:24] | GigEVisionManager.cpp-L4506: throw frame from list[187], CurFrameNum[16063], LastFrame[16061]
[2018-08-10 05:54:24] | GigEVisionManager.cpp-L4506: throw frame from list[188], CurFrameNum[16067], LastFrame[16065]
[2018-08-10 05:54:24] | GigEVisionManager.cpp-L4506: throw frame from list[189], CurFrameNum[16070], LastFrame[16068]
[2018-08-10 05:54:25] | GigEVisionManager.cpp-L4506: throw frame from list[190], CurFrameNum[16075], LastFrame[16073]
[2018-08-10 05:54:25] | GigEVisionManager.cpp-L4506: throw frame from list[191], CurFrameNum[16079], LastFrame[16077]
[2018-08-10 05:54:25] | GigEVisionManager.cpp-L4506: throw frame from list[192], CurFrameNum[16082], LastFrame[16080]
[2018-08-10 05:54:25] | GigEVisionManager.cpp-L4506: throw frame from list[193], CurFrameNum[16087], LastFrame[16085]
[2018-08-10 05:54:25] | GigEVisionManager.cpp-L4506: throw frame from list[194], CurFrameNum[16090], LastFrame[16088]
[2018-08-10 05:54:26] | GigEVisionManager.cpp-L4506: throw frame from list[195], CurFrameNum[16094], LastFrame[16092]
[2018-08-10 05:54:26] | GigEVisionManager.cpp-L4506: throw frame from list[196], CurFrameNum[16099], LastFrame[16097]
[2018-08-10 05:54:26] | GigEVisionManager.cpp-L4506: throw frame from list[197], CurFrameNum[16105], LastFrame[16103]
[2018-08-10 05:54:26] | GigEVisionManager.cpp-L4506: throw frame from list[198], CurFrameNum[16110], LastFrame[16108]
[2018-08-10 05:54:27] | GigEVisionManager.cpp-L4506: throw frame from list[199], CurFrameNum[16115], LastFrame[16113]
[2018-08-10 05:54:27] | GigEVisionManager.cpp-L4506: throw frame from list[200], CurFrameNum[16122], LastFrame[16120]
[2018-08-10 05:54:27] | GigEVisionManager.cpp-L4506: throw frame from list[201], CurFrameNum[16125], LastFrame[16123]
[2018-08-10 05:54:27] | GigEVisionManager.cpp-L4506: throw frame from list[202], CurFrameNum[16129], LastFrame[16127]
[2018-08-10 05:54:28] | GigEVisionManager.cpp-L4506: throw frame from list[203], CurFrameNum[16132], LastFrame[16130]
[2018-08-10 05:54:28] | GigEVisionManager.cpp-L4506: throw frame from list[204], CurFrameNum[16136], LastFrame[16134]
[2018-08-10 05:54:28] | GigEVisionManager.cpp-L4506: throw frame from list[205], CurFrameNum[16140], LastFrame[16138]
[2018-08-10 05:54:28] | GigEVisionManager.cpp-L4506: throw frame from list[206], CurFrameNum[16147], LastFrame[16145]
[2018-08-10 05:54:29] | GigEVisionManager.cpp-L4506: throw frame from list[207], CurFrameNum[16152], LastFrame[16150]
[2018-08-10 05:54:29] | GigEVisionManager.cpp-L4506: throw frame from list[208], CurFrameNum[16156], LastFrame[16154]
[2018-08-10 05:54:29] | GigEVisionManager.cpp-L4506: throw frame from list[209], CurFrameNum[16159], LastFrame[16157]
[2018-08-10 05:54:29] | GigEVisionManager.cpp-L4506: throw frame from list[210], CurFrameNum[16163], LastFrame[16161]
